Tag,Type,Building,Replacement asset value,Installation date,Planned replacement date,Estimated end-of-life,Remaining useful life,Estimated Replacement Cost,Estimated Replacement Date,Installation Date,Warranty Expiration Date,Lifetime maintenance cost,Last 12 months maintenance cost,Average annual maintenance cost,MC/RAV(%),Manufacturer,Date Purchased,Filter size,Vin #
1629275 - VAV-5-HS,HVAC,FMX High School,12000,2020-05-28,2034-05-25,2045-05-29,"20 years, 2 months",12000,5/29/2045,5/28/2020,5/29/2035,,,,,Trane,,,
1629297 - AHU 3-ES,HVAC,FMX Elementary School,12000,2020-06-19,2034-05-26,2045-06-20,"20 years, 3 months",12000,6/20/2045,6/19/2020,6/20/2035,,,,,Carrier,,,
1629324 - AHU 5-MS,HVAC,FMX Middle School,12000,2020-07-16,2034-05-26,2045-07-17,"20 years, 4 months",12000,7/17/2045,7/16/2020,7/17/2035,,,,,,,,
1629315 - Light Fixture 123,Electrical,FMX Middle School,12000,2020-07-07,2034-05-26,2045-07-08,"20 years, 3 months",12000,7/8/2045,7/7/2020,7/8/2035,,,,,Carrier,,,
1629306 - VAV-3-MS,HVAC,FMX Middle School,12000,2020-06-28,2034-05-26,2045-06-29,"20 years, 3 months",12000,6/29/2045,6/28/2020,6/29/2035,,,,,Trane,,,
1629276 - VAV-4-HS,HVAC,FMX High School,12000,2020-05-29,2034-05-26,2045-05-30,"20 years, 2 months",12000,5/30/2045,5/29/2020,5/30/2035,,,,,Trane,,,
1629288 - VAV-6-ES,HVAC,FMX Elementary School,12000,2020-06-10,2034-05-26,2045-06-11,"20 years, 2 months",12000,6/11/2045,6/10/2020,6/11/2035,,,,,Trane,,,
1629316 - AHU 5-HS,HVAC,FMX High School,12000,2020-07-08,2034-05-27,2045-07-09,"20 years, 3 months",12000,7/9/2045,7/8/2020,7/9/2035,,,,,,,,
1629324 - AHU 5-MS > 1629325 - Chiller Planet,HVAC,FMX Middle School,12000,2020-07-17,2034-05-27,2045-07-18,"20 years, 4 months",12000,7/18/2045,7/17/2020,7/18/2035,,,,,,,,
1629298 - HP - 14-ES,HVAC,FMX Elementary School,12000,2020-06-20,2034-05-27,2045-06-21,"20 years, 3 months",12000,6/21/2045,6/20/2020,6/21/2035,,,,,Carrier,,,
1629307 - VAV-2-MS,HVAC,FMX Middle School,12000,2020-06-29,2034-05-27,2045-06-30,"20 years, 3 months",12000,6/30/2045,6/29/2020,6/30/2035,,,,,Trane,,,
1629277 - VAV-3-HS,HVAC,FMX High School,12000,2020-05-30,2034-05-27,2045-05-31,"20 years, 2 months",12000,5/31/2045,5/30/2020,5/31/2035,,,,,Trane,,,
1629289 - VAV-5-ES,HVAC,FMX Elementary School,12000,2020-06-11,2034-05-27,2045-06-12,"20 years, 2 months",12000,6/12/2045,6/11/2020,6/12/2035,,,,,Trane,,,
1629151 - Water fountain 6-ES,Plumbing,FMX Elementary School,12000,2020-01-25,2035-01-01,2045-01-25,"19 years, 10 months",12000,1/25/2045,1/25/2020,1/25/2035,,,,,,,,
1629152 - Drain-ES,Plumbing,FMX Elementary School,12000,2020-01-26,2035-01-02,2045-01-26,"19 years, 10 months",12000,1/26/2045,1/26/2020,1/26/2035,,,,,,,,
1629153 - sink 6-ES,Plumbing,FMX Elementary School,12000,2020-01-27,2035-01-03,2045-01-27,"19 years, 10 months",12000,1/27/2045,1/27/2020,1/27/2035,,,,,,,,
1629154 - Sink 4-ES,Plumbing,FMX Elementary School,12000,2020-01-28,2035-01-04,2045-01-28,"19 years, 10 months",12000,1/28/2045,1/28/2020,1/28/2035,,,,,,,,
1629155 - Sink 3-ES,Plumbing,FMX Elementary School,12000,2020-01-29,2035-01-05,2045-01-29,"19 years, 10 months",12000,1/29/2045,1/29/2020,1/29/2035,,,,,,,,
1629156 - Sink 2-ES,Plumbing,FMX Elementary School,12000,2020-01-30,2035-01-06,2045-01-30,"19 years, 10 months",12000,1/30/2045,1/30/2020,1/30/2035,,,,,,,,
1629157 - Sink 1-ES,Plumbing,FMX Elementary School,12000,2020-01-31,2035-01-07,2045-01-31,"19 years, 10 months",12000,1/31/2045,1/31/2020,1/31/2035,,,,,,,,
1629158 - Valve 2-MS,Plumbing,FMX Middle School,12000,2020-02-01,2035-01-08,2045-02-01,"19 years, 10 months",12000,2/1/2045,2/1/2020,2/1/2035,,,,,,,,
1629159 - Water fountain 1-MS,Plumbing,FMX Middle School,12000,2020-02-02,2035-01-09,2045-02-02,"19 years, 10 months",12000,2/2/2045,2/2/2020,2/2/2035,,,,,,,,
1629160 - Sewer drain-MS,Plumbing,FMX Middle School,12000,2020-02-03,2035-01-10,2045-02-03,"19 years, 10 months",12000,2/3/2045,2/3/2020,2/3/2035,,,,,,,,
1629235 - DHW-2-ES,Plumbing,FMX Elementary School,12000,2020-04-18,2035-04-17,2045-04-19,"20 years, 1 month",12000,4/19/2045,4/18/2020,4/19/2035,,,,,,,,
1629251 - Drinking Fountain 1-MS,Plumbing,FMX Middle School,12000,2020-05-04,2035-04-17,2045-05-05,"20 years, 1 month",12000,5/5/2045,5/4/2020,5/5/2035,,,,,,,,
1629259 - Electric Panel 02-MS,Electrical,FMX Middle School,12000,2020-05-12,2035-04-17,2045-05-13,"20 years, 2 months",12000,5/13/2045,5/12/2020,5/13/2035,,,,,,,,
1629243 - Water Heater 1-MS,Plumbing,FMX Middle School,12000,2020-04-26,2035-04-17,2045-04-27,"20 years, 1 month",12000,4/27/2045,4/26/2020,4/27/2035,,,,,,,,
1629299 - AHU 2-MS,HVAC,FMX Middle School,12000,2020-06-21,2035-05-24,2045-06-22,"20 years, 3 months",12000,6/22/2045,6/21/2020,6/22/2035,,,,,Trane,,,
1629316 - AHU 5-HS > 1629317 - Chiller Planet,HVAC,FMX High School,12000,2020-07-09,2035-05-24,2045-07-10,"20 years, 3 months",12000,7/10/2045,7/9/2020,7/10/2035,,,,,,,,
1629326 - AHU 6-MS,HVAC,FMX Middle School,12000,2020-07-18,2035-05-24,2045-07-19,"20 years, 4 months",12000,7/19/2045,7/18/2020,7/19/2035,,,,,Carrier,,,
1629308 - VAV-1-MS,HVAC,FMX Middle School,12000,2020-06-30,2035-05-24,2045-07-01,"20 years, 3 months",12000,7/1/2045,6/30/2020,7/1/2035,,,,,Trane,,,
1629278 - VAV-2-HS,HVAC,FMX High School,12000,2020-05-31,2035-05-24,2045-06-01,"20 years, 2 months",12000,6/1/2045,5/31/2020,6/1/2035,,,,,Trane,,,
1629290 - VAV-4-ES,HVAC,FMX Elementary School,12000,2020-06-12,2035-05-24,2045-06-13,"20 years, 3 months",12000,6/13/2045,6/12/2020,6/13/2035,,,,,Trane,,,
1629300 - AHU 4-MS,HVAC,FMX Middle School,12000,2020-06-22,2035-05-25,2045-06-23,"20 years, 3 months",12000,6/23/2045,6/22/2020,6/23/2035,,,,,Trane,,,
1629318 - AHU 6-HS,HVAC,FMX High School,12000,2020-07-10,2035-05-25,2045-07-11,"20 years, 3 months",12000,7/11/2045,7/10/2020,7/11/2035,,,,,Carrier,,,
1629326 - AHU 6-MS > 1629327 - Compressor 45,HVAC,FMX Middle School,12000,2020-07-19,2035-05-25,2045-07-20,"20 years, 4 months",12000,7/20/2045,7/19/2020,7/20/2035,,,,,Carrier,,,
1629309 - HP-16-MS,HVAC,FMX Middle School,12000,2020-07-01,2035-05-25,2045-07-02,"20 years, 3 months",12000,7/2/2045,7/1/2020,7/2/2035,,,,,Trane,,,
1629279 - VAV-1-HS,HVAC,FMX High School,12000,2020-06-01,2035-05-25,2045-06-02,"20 years, 2 months",12000,6/2/2045,6/1/2020,6/2/2035,,,,,Trane,,,
1629291 - VAV-3-ES,HVAC,FMX Elementary School,12000,2020-06-13,2035-05-25,2045-06-14,"20 years, 3 months",12000,6/14/2045,6/13/2020,6/14/2035,,,,,Trane,,,
1629301 - AHU 1-MS,HVAC,FMX Middle School,12000,2020-06-23,2035-05-26,2045-06-24,"20 years, 3 months",12000,6/24/2045,6/23/2020,6/24/2035,,,,,Trane,,,
1629318 - AHU 6-HS > 1629319 - Compressor 45,HVAC,FMX High School,12000,2020-07-11,2035-05-26,2045-07-12,"20 years, 3 months",12000,7/12/2045,7/11/2020,7/12/2035,,,,,Carrier,,,
1629280 - HP-16-HS,HVAC,FMX High School,12000,2020-06-02,2035-05-26,2045-06-03,"20 years, 2 months",12000,6/3/2045,6/2/2020,6/3/2035,,,,,Trane,,,
1629310 - HP-17-MS,HVAC,FMX Middle School,12000,2020-07-02,2035-05-26,2045-07-03,"20 years, 3 months",12000,7/3/2045,7/2/2020,7/3/2035,,,,,Carrier,,,
1629292 - VAV-2-ES,HVAC,FMX Elementary School,12000,2020-06-14,2035-05-26,2045-06-15,"20 years, 3 months",12000,6/15/2045,6/14/2020,6/15/2035,,,,,Trane,,,
1629281 - HP-17-HS,HVAC,FMX High School,12000,2020-06-03,2035-05-27,2045-06-04,"20 years, 2 months",12000,6/4/2045,6/3/2020,6/4/2035,,,,,Carrier,,,
1629162 - Water fountain 6-MS,Plumbing,FMX Middle School,12000,2020-02-05,2036-01-01,2045-02-05,"19 years, 10 months",12000,2/5/2045,2/5/2020,2/5/2035,,,,,,,,
1629163 - Drain-MS,Plumbing,FMX Middle School,12000,2020-02-06,2036-01-02,2045-02-06,"19 years, 10 months",12000,2/6/2045,2/6/2020,2/6/2035,,,,,,,,
1629164 - sink 6-MS,Plumbing,FMX Middle School,12000,2020-02-07,2036-01-03,2045-02-07,"19 years, 10 months",12000,2/7/2045,2/7/2020,2/7/2035,,,,,,,,
1629165 - Sink 4-MS,Plumbing,FMX Middle School,12000,2020-02-08,2036-01-04,2045-02-08,"19 years, 10 months",12000,2/8/2045,2/8/2020,2/8/2035,,,,,,,,
1629166 - Sink 3-MS,Plumbing,FMX Middle School,12000,2020-02-09,2036-01-05,2045-02-09,"19 years, 10 months",12000,2/9/2045,2/9/2020,2/9/2035,,,,,,,,
1629167 - Sink 2-MS,Plumbing,FMX Middle School,12000,2020-02-10,2036-01-06,2045-02-10,"19 years, 10 months",12000,2/10/2045,2/10/2020,2/10/2035,,,,,,,,
1629168 - Sink 1-MS,Plumbing,FMX Middle School,12000,2020-02-11,2036-01-07,2045-02-11,"19 years, 10 months",12000,2/11/2045,2/11/2020,2/11/2035,,,,,,,,
1629169 - Bus 7,Vehicle,Warehouse,12000,2020-02-12,2036-01-08,2045-02-12,"19 years, 10 months",12000,2/12/2045,2/12/2020,2/12/2035,,,,,Blue Bird,1/1/2020,,1G3NL52T31C136317
1629236 - DHW-1-ES,Plumbing,FMX Elementary School,12000,2020-04-19,2036-04-17,2045-04-20,"20 years, 1 month",12000,4/20/2045,4/19/2020,4/20/2035,,,,,,,,
1629244 - DHW-2-MS,Plumbing,FMX Middle School,12000,2020-04-27,2036-04-17,2045-04-28,"20 years, 1 month",12000,4/28/2045,4/27/2020,4/28/2035,,,,,,,,
1629260 - Electric Panel 01-MS,Electrical,FMX Middle School,12000,2020-05-13,2036-04-17,2045-05-14,"20 years, 2 months",12000,5/14/2045,5/13/2020,5/14/2035,,,,,,,,
1629252 - Van 1,Vehicle,Warehouse,12000,2020-05-05,2036-04-17,2045-05-06,"20 years, 1 month",12000,5/6/2045,5/5/2020,5/6/2035,,,,,Ford,1/1/2016,,2T3BF4DV9BW088257
1629282 - HP-18-HS,HVAC,FMX High School,12000,2020-06-04,2036-05-24,2045-06-05,"20 years, 2 months",12000,6/5/2045,6/4/2020,6/5/2035,,,,,Carrier,,,
1629170 - Bus 8,Vehicle,Warehouse,12000,2020-02-13,2037-01-01,2045-02-13,"19 years, 11 months",12000,2/13/2045,2/13/2020,2/13/2035,,,,,Blue Bird,1/1/2023,,1FADP3F28EL363083
1629171 - Bus 3,Vehicle,Warehouse,12000,2020-02-14,2037-01-02,2045-02-14,"19 years, 11 months",12000,2/14/2045,2/14/2020,2/14/2035,,,,,Blue Bird,1/1/2018,,SCCZC11169HL30234
1629172 - Bus 4,Vehicle,Warehouse,12000,2020-02-15,2037-01-03,2045-02-15,"19 years, 11 months",12000,2/15/2045,2/15/2020,2/15/2035,,,,,Blue Bird,1/1/2022,,JHMGD37478S010231
1629173 - Bus 5,Vehicle,Warehouse,12000,2020-02-16,2037-01-04,2045-02-16,"19 years, 11 months",12000,2/16/2045,2/16/2020,2/16/2035,,,,,Blue Bird,1/1/2023,,1G1NE52J73M697019
1629174 - Bus 6,Vehicle,Warehouse,12000,2020-02-17,2037-01-05,2045-02-17,"19 years, 11 months",12000,2/17/2045,2/17/2020,2/17/2035,,,,,Blue Bird,1/1/2024,,JTDBT923871054050
1629237 - Backflow Preventer-ES,Plumbing,FMX Elementary School,12000,2020-04-20,2037-04-17,2045-04-21,"20 years, 1 month",12000,4/21/2045,4/20/2020,4/21/2035,,,,,,,,
1629245 - DHW-1-MS,Plumbing,FMX Middle School,12000,2020-04-28,2037-04-17,2045-04-29,"20 years, 1 month",12000,4/29/2045,4/28/2020,4/29/2035,,,,,,,,
1629261 - Light Fixture 125,Electrical,FMX Middle School,12000,2020-05-14,2037-04-17,2045-05-15,"20 years, 2 months",12000,5/15/2045,5/14/2020,5/15/2035,,,,,,,,
1629253 - Van 2,Vehicle,Warehouse,12000,2020-05-06,2037-04-17,2045-05-07,"20 years, 1 month",12000,5/7/2045,5/6/2020,5/7/2035,,,,,Ford,1/1/2014,,JN8AF5MV7DT210318
1629176 - AHU 24-ES,HVAC,FMX Elementary School,12000,2020-02-19,2038-01-01,2045-02-19,"19 years, 11 months",12000,2/19/2045,2/19/2020,2/19/2035,,,,,Goodman,,,
1629177 - AHU 24-MS,HVAC,FMX Middle School,12000,2020-02-20,2038-01-02,2045-02-20,"19 years, 11 months",12000,2/20/2045,2/20/2020,2/20/2035,,,,,Goodman,,,
1629178 - Electric Panel 06 - HS,Electrical,FMX High School,12000,2020-02-21,2038-01-03,2045-02-21,"19 years, 11 months",12000,2/21/2045,2/21/2020,2/21/2035,,,,,,,,
1629179 - Electric Panel 05 - HS,Electrical,FMX High School,12000,2020-02-22,2038-01-04,2045-02-22,"19 years, 11 months",12000,2/22/2045,2/22/2020,2/22/2035,,,,,,,,
1629180 - Electric Panel 04 - HS,Electrical,FMX High School,12000,2020-02-23,2038-01-05,2045-02-23,"19 years, 11 months",12000,2/23/2045,2/23/2020,2/23/2035,,,,,,,,
1629246 - Backflow Preventer-MS,Plumbing,FMX Middle School,12000,2020-04-29,2038-04-17,2045-04-30,"20 years, 1 month",12000,4/30/2045,4/29/2020,4/30/2035,,,,,,,,
1629262 - Light Fixture 124-HS,Electrical,FMX High School,12000,2020-05-15,2038-04-17,2045-05-16,"20 years, 2 months",12000,5/16/2045,5/15/2020,5/16/2035,,,,,Carrier,,,
1629238 - Toilet 1-ES,Plumbing,FMX Elementary School,12000,2020-04-21,2038-04-17,2045-04-22,"20 years, 1 month",12000,4/22/2045,4/21/2020,4/22/2035,,,,,,,,
1629254 - Van 3,Vehicle,Warehouse,12000,2020-05-07,2038-04-17,2045-05-08,"20 years, 1 month",12000,5/8/2045,5/7/2020,5/8/2035,,,,,Ford,1/1/2019,,1GTCS144XW8543392
1629269 - AHU 2-ES,HVAC,FMX Elementary School,12000,2020-05-22,2039-04-17,2045-05-23,"20 years, 2 months",12000,5/23/2045,5/22/2020,5/23/2035,,,,,Trane,,,
1629239 - Drinking Fountain 4-ES,Plumbing,FMX Elementary School,12000,2020-04-22,2039-04-17,2045-04-23,"20 years, 1 month",12000,4/23/2045,4/22/2020,4/23/2035,,,,,,,,
1629255 - Electric Panel 06-MS,Electrical,FMX Middle School,12000,2020-05-08,2039-04-17,2045-05-09,"20 years, 1 month",12000,5/9/2045,5/8/2020,5/9/2035,,,,,,,,
1629263 - Light Fixture 123,Electrical,FMX High School,12000,2020-05-16,2039-04-17,2045-05-17,"20 years, 2 months",12000,5/17/2045,5/16/2020,5/17/2035,,,,,Carrier,,,
1629247 - Toilet 1-MS,Plumbing,FMX Middle School,12000,2020-04-30,2039-04-17,2045-05-01,"20 years, 1 month",12000,5/1/2045,4/30/2020,5/1/2035,,,,,,,,
1629204 - HP-32-HS,HVAC,FMX High School,12000,2020-03-18,2040-01-01,2045-03-19,20 years,12000,3/19/2045,3/18/2020,3/19/2035,,,,,,,,
1629205 - HP-6-HS,HVAC,FMX High School,12000,2020-03-19,2040-01-02,2045-03-20,20 years,12000,3/20/2045,3/19/2020,3/20/2035,,,,,,,,
1629206 - HP-5-HS,HVAC,FMX High School,12000,2020-03-20,2040-01-03,2045-03-21,20 years,12000,3/21/2045,3/20/2020,3/21/2035,,,,,,,,
1629207 - HP-4-HS,HVAC,FMX High School,12000,2020-03-21,2040-01-04,2045-03-22,20 years,12000,3/22/2045,3/21/2020,3/22/2035,,,,,,,,
1629208 - HP-2-HS,HVAC,FMX High School,12000,2020-03-22,2040-01-05,2045-03-23,20 years,12000,3/23/2045,3/22/2020,3/23/2035,,,,,,,,
1629209 - HP-1-HS,HVAC,FMX High School,12000,2020-03-23,2040-01-06,2045-03-24,20 years,12000,3/24/2045,3/23/2020,3/24/2035,,,,,,,,
1629210 - HP-13-HS,HVAC,FMX High School,12000,2020-03-24,2040-01-07,2045-03-25,20 years,12000,3/25/2045,3/24/2020,3/25/2035,,,,,,,,
1629225 - Water Heater 1-HS,Plumbing,FMX High School,6500,2020-04-08,2040-04-01,2040-04-08,15 years,12000,4/9/2045,4/8/2020,4/9/2035,,,,,,,,
1629240 - Drinking Fountain 3-ES,Plumbing,FMX Elementary School,12000,2020-04-23,2040-04-17,2045-04-24,"20 years, 1 month",12000,4/24/2045,4/23/2020,4/24/2035,,,,,,,,
1629248 - Drinking Fountain 4-MS,Plumbing,FMX Middle School,12000,2020-05-01,2040-04-17,2045-05-02,"20 years, 1 month",12000,5/2/2045,5/1/2020,5/2/2035,,,,,,,,
1629256 - Electric Panel 05-MS,Electrical,FMX Middle School,12000,2020-05-09,2040-04-17,2045-05-10,"20 years, 1 month",12000,5/10/2045,5/9/2020,5/10/2035,,,,,,,,
1629264 - Light Fixture 124-ES,Electrical,FMX Elementary School,12000,2020-05-17,2040-04-17,2045-05-18,"20 years, 2 months",12000,5/18/2045,5/17/2020,5/18/2035,,,,,Carrier,,,
1629241 - Drinking Fountain 2-ES,Plumbing,FMX Elementary School,12000,2020-04-24,2041-04-17,2045-04-25,"20 years, 1 month",12000,4/25/2045,4/24/2020,4/25/2035,,,,,,,,
1629249 - Drinking Fountain 3-MS,Plumbing,FMX Middle School,12000,2020-05-02,2041-04-17,2045-05-03,"20 years, 1 month",12000,5/3/2045,5/2/2020,5/3/2035,,,,,,,,
1629257 - Electric Panel 04-MS,Electrical,FMX Middle School,12000,2020-05-10,2041-04-17,2045-05-11,"20 years, 1 month",12000,5/11/2045,5/10/2020,5/11/2035,,,,,,,,
1629265 - Light Fixture 123-ES,Electrical,FMX Elementary School,12000,2020-05-18,2041-04-17,2045-05-19,"20 years, 2 months",12000,5/19/2045,5/18/2020,5/19/2035,,,,,Carrier,,,
1629242 - Drinking Fountain 1-ES,Plumbing,FMX Elementary School,12000,2020-04-25,2042-04-17,2045-04-26,"20 years, 1 month",12000,4/26/2045,4/25/2020,4/26/2035,,,,,,,,
1629250 - Drinking Fountain 2-MS,Plumbing,FMX Middle School,12000,2020-05-03,2042-04-17,2045-05-04,"20 years, 1 month",12000,5/4/2045,5/3/2020,5/4/2035,,,,,,,,
1629258 - Electric Panel 03-MS,Electrical,FMX Middle School,12000,2020-05-11,2042-04-17,2045-05-12,"20 years, 1 month",12000,5/12/2045,5/11/2020,5/12/2035,,,,,,,,
